config_number,concentration,replicate,filename,exposure_time,analogue_gain,colour_gains,awb_enable,timestamp
1,1.0,1,config1_conc1.0mgL_rep1_20260916_164635.png,10000,1.0,"(1.0, 1.0)",True,20260916_164635
1,1.0,2,config1_conc1.0mgL_rep2_20260916_164638.png,10000,1.0,"(1.0, 1.0)",True,20260916_164638
1,1.0,3,config1_conc1.0mgL_rep3_20260916_164640.png,10000,1.0,"(1.0, 1.0)",True,20260916_164640
1,1.0,4,config1_conc1.0mgL_rep4_20260916_164643.png,10000,1.0,"(1.0, 1.0)",True,20260916_164643
1,1.0,5,config1_conc1.0mgL_rep5_20260916_164645.png,10000,1.0,"(1.0, 1.0)",True,20260916_164645
1,1.0,1,config1_conc1.0mgL_rep1_20260916_165745_064667.png,10000,1.0,"(1.0, 1.0)",True,20260916_165745_064667
1,1.0,2,config1_conc1.0mgL_rep2_20260916_165746_721441.png,10000,1.0,"(1.0, 1.0)",True,20260916_165746_721441
1,1.0,3,config1_conc1.0mgL_rep3_20260916_165748_295710.png,10000,1.0,"(1.0, 1.0)",True,20260916_165748_295710
2,1.0,1,config2_conc1.0mgL_rep1_20260916_165750_120122.png,5000,1.0,"(1.1, 1.1)",True,20260916_165750_120122
2,1.0,2,config2_conc1.0mgL_rep2_20260916_165751_872366.png,5000,1.0,"(1.1, 1.1)",True,20260916_165751_872366
2,1.0,3,config2_conc1.0mgL_rep3_20260916_165753_536293.png,5000,1.0,"(1.1, 1.1)",True,20260916_165753_536293
3,1.0,1,config3_conc1.0mgL_rep1_20260916_165755_402776.png,10000,1.0,"(1.3, 1.0)",False,20260916_165755_402776
3,1.0,2,config3_conc1.0mgL_rep2_20260916_165757_065541.png,10000,1.0,"(1.3, 1.0)",False,20260916_165757_065541
3,1.0,3,config3_conc1.0mgL_rep3_20260916_165758_726240.png,10000,1.0,"(1.3, 1.0)",False,20260916_165758_726240
4,1.0,1,config4_conc1.0mgL_rep1_20260916_165800_590990.png,10000,1.0,"(0.8, 1.1)",False,20260916_165800_590990
4,1.0,2,config4_conc1.0mgL_rep2_20260916_165802_291932.png,10000,1.0,"(0.8, 1.1)",False,20260916_165802_291932
4,1.0,3,config4_conc1.0mgL_rep3_20260916_165803_956213.png,10000,1.0,"(0.8, 1.1)",False,20260916_165803_956213
5,1.0,1,config5_conc1.0mgL_rep1_20260916_165805_819742.png,20000,2.0,"(1.0, 1.0)",True,20260916_165805_819742
5,1.0,2,config5_conc1.0mgL_rep2_20260916_165807_534189.png,20000,2.0,"(1.0, 1.0)",True,20260916_165807_534189
5,1.0,3,config5_conc1.0mgL_rep3_20260916_165809_192122.png,20000,2.0,"(1.0, 1.0)",True,20260916_165809_192122
